author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Трансстройинвест,developer,https://www.cian.ru/sale/flat/299487881/,Москва,sale,flat,2,32,2,49.0,-1,0,14968569.0,Рязанский,Рязанский проспект,вл39,Стахановская,Проспект 39
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301792389/,Москва,sale,flat,5,5,2,44.3,-1,0,15000000.0,Савеловский,Башиловская ,25,Дмитровская,
Бест офис на Таганской,real_estate_agent,https://www.cian.ru/sale/flat/301227982/,Москва,sale,flat,5,14,2,54.0,-1,0,15000000.0,Южное Тушино, Свободы,40К1,Сходненская,
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/299293091/,Москва,sale,flat,4,25,2,51.0,-1,0,14999000.0,Митино,Муравская ,38к1,Пятницкое шоссе,Мир Митино
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300104962/,Москва,sale,flat,10,24,2,62.0,-1,0,14950000.0,Можайский,Беловежская ,37К1,Сетунь,
ID 76757330,homeowner,https://www.cian.ru/sale/flat/301702824/,Москва,sale,flat,2,9,2,53.5,-1,0,15000000.0,Восточное Дегунино,Дубнинская ,16К1,Дегунино,
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301591821/,Москва,sale,flat,9,12,2,38.0,-1,0,15100000.0,Черемушки,Севастопольский проспект,50/11,Зюзино,
ОЛ ИНКЛЮЗИВ,real_estate_agent,https://www.cian.ru/sale/flat/300938173/,Москва,sale,flat,3,23,2,49.5,-1,0,15200000.0,Рязанский,2-й Грайвороновский проезд,44к2,Стахановская,Кварталы 21/19
3SGroup,developer,https://www.cian.ru/sale/flat/298055156/,Москва,sale,flat,6,29,2,36.33,-1,0,15177043.0,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,Талисман на Рокоссовского
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/292005364/,Москва,sale,flat,13,17,2,54.6,-1,0,15245706.0,,,к3,Мичуринец,Переделкино Ближнее Город-парк
Мария Балакина,realtor,https://www.cian.ru/sale/flat/299496399/,Москва,sale,flat,7,9,2,38.0,-1,0,15200000.0,Черемушки,Нахимовский проспект,37К2,Профсоюзная,
Новое Летово,developer,https://www.cian.ru/sale/flat/296703642/,Москва,sale,flat,6,7,2,61.0,-1,0,15335400.0,,,к1,Филатов Луг,Новое Летово ЖК
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301558127/,Москва,sale,flat,1,10,2,67.5,-1,0,15400000.0,Ховрино,Фестивальная ,22К1,Грачёвская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301700351/,Москва,sale,flat,10,12,2,48.0,-1,0,15290000.0,Бескудниковский,Бескудниковский бульвар,40К1,Яхромская,
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/301235109/,Москва,sale,flat,3,4,2,51.0,-1,0,15390000.0,Кунцево, Маршала Тимошенко,6,Молодёжная,
Владис,real_estate_agent,https://www.cian.ru/sale/flat/301297467/,Москва,sale,flat,2,16,2,56.1,-1,0,15500000.0,Дмитровский,Лобненская ,13К2,Лианозово,Дмитровский парк
Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301682256/,Москва,sale,flat,2,9,2,45.0,-1,0,15490000.0,Теплый Стан,Профсоюзная ,140К3,Коньково,
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/301594906/,Москва,sale,flat,14,15,2,54.7,-1,0,15600000.0,, Потаповская Роща,20к2,Потапово,Белые ночи
ЛСР,developer,https://www.cian.ru/sale/flat/301419726/,Москва,sale,flat,2,30,2,48.0,-1,0,15650304.0,Москворечье-Сабурово,,,Борисово,Вэйв ЖК
Apsis Globe,developer,https://www.cian.ru/sale/flat/290875925/,Москва,sale,flat,19,21,2,65.4,-1,0,15600000.0,Тропарево-Никулино,Востряковское шоссе,7с3,Озёрная,Комплекс апартаментов CITIMIX
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300206682/,Москва,sale,flat,4,18,2,49.1,-1,0,15650000.0,Останкинский,Березовая аллея,19к3,Ботанический сад,Апарт-комплекс Легендарный квартал
